COUNTY,MCD_NAME,MCD_ID,YEAR,POPULATION_ESTIMATE,TOTAL_KSI_RATE,PEDESTRIAN_KSI_RATE,BICYCLIST_KSI_RATE,TOTAL_KSI_RATE_5YR,PEDESTRIAN_KSI_RATE_5YR,BICYCLIST_KSI_RATE_5YR
Bucks County,Telford Borough (part) *,4201776304,2020,2196,455.4,0.0,0.0,255.0,9.1,0.0
Bucks County,Tinicum Township,4201776784,2020,3965,807.1,0.0,25.2,762.5,10.1,15.1
Bucks County,Trumbauersville Borough,4201777704,2020,935,320.9,0.0,0.0,255.0,21.3,0.0
Bucks County,Tullytown Borough,4201777744,2020,2183,458.1,0.0,0.0,648.8,45.7,36.6
Bucks County,Upper Makefield Township,4201779128,2020,8600,302.3,0.0,0.0,353.9,11.8,4.7
Bucks County,Upper Southampton Township,4201779296,2020,14946,394.8,0.0,6.7,699.1,10.7,10.7
Bucks County,Warminster Township,4201780952,2020,32414,385.6,21.6,6.2,524.6,27.1,8.0
Bucks County,Warrington Township,4201781048,2020,24581,321.4,8.1,8.1,545.7,13.1,5.8
Bucks County,Warwick Township,4201781144,2020,14753,189.8,0.0,6.8,207.2,5.5,4.1
Bucks County,West Rockhill Township,4201783960,2020,5221,976.8,0.0,19.2,1402.4,0.0,3.8
Bucks County,Wrightstown Township,4201786624,2020,3100,967.7,0.0,0.0,1135.9,0.0,6.5
Bucks County,Yardley Borough,4201786920,2020,2514,79.6,0.0,0.0,152.2,0.0,8.0
Chester County,Atglen Borough,4202903384,2020,1413,141.5,0.0,0.0,312.2,0.0,14.2
Chester County,Avondale Borough,4202903656,2020,1400,142.9,0.0,0.0,585.0,28.5,14.3
Chester County,Birmingham Township,4202906544,2020,4199,214.3,0.0,0.0,451.8,9.5,0.0
Chester County,Caln Township,4202910824,2020,14271,742.8,7.0,0.0,771.3,23.9,2.8
Chester County,Charlestown Township,4202912744,2020,6296,555.9,0.0,15.9,641.0,3.3,6.6
Chester County,Coatesville City,4202914712,2020,13073,428.4,38.2,7.6,436.6,48.9,10.7
Chester County,Downingtown Borough,4202919752,2020,7904,215.1,12.7,25.3,419.7,17.7,12.6
Chester County,East Bradford Township,4202920824,2020,9905,181.7,0.0,0.0,337.0,12.1,4.0
Chester County,East Brandywine Township,4202920864,2020,9091,231.0,11.0,0.0,240.2,2.3,0.0
Chester County,East Caln Township,4202920920,2020,4856,823.7,61.8,0.0,971.8,32.9,0.0
Chester County,East Coventry Township,4202921008,2020,6785,456.9,0.0,0.0,396.0,0.0,0.0
Chester County,East Fallowfield Township,4202921104,2020,7608,223.4,0.0,0.0,258.4,0.0,0.0
Chester County,East Goshen Township,4202921192,2020,18158,77.1,0.0,5.5,172.8,5.5,2.2
Chester County,East Marlborough Township,4202921480,2020,7560,264.6,0.0,0.0,388.3,5.4,2.7
Chester County,East Nantmeal Township,4202921576,2020,1854,647.2,0.0,0.0,1118.1,0.0,0.0
Chester County,East Nottingham Township,4202921624,2020,9100,329.7,0.0,0.0,394.2,4.4,2.2
Chester County,East Pikeland Township,4202921696,2020,7699,233.8,13.0,0.0,424.0,8.0,0.0
Chester County,Easttown Township,4202921928,2020,10635,272.7,9.4,9.4,463.5,7.5,7.5
Chester County,East Vincent Township,4202922000,2020,7348,163.3,0.0,0.0,352.0,5.5,2.8
Chester County,East Whiteland Township,4202922056,2020,13204,446.8,7.6,0.0,710.7,6.5,3.3
Chester County,Elk Township,4202923032,2020,1708,117.1,0.0,0.0,305.1,0.0,11.7
Chester County,Elverson Borough,4202923440,2020,1316,76.0,0.0,0.0,305.4,0.0,0.0
Chester County,Franklin Township,4202927376,2020,4539,264.4,0.0,0.0,340.1,4.4,0.0
Chester County,Highland Township,4202934448,2020,1292,1083.6,0.0,0.0,1323.2,0.0,0.0
Chester County,Honey Brook Borough,4202935528,2020,1762,227.0,0.0,0.0,305.7,11.3,0.0
Chester County,Honey Brook Township,4202935536,2020,8310,385.1,0.0,0.0,351.4,2.4,0.0
Chester County,Kennett Township,4202939344,2020,8545,479.8,11.7,0.0,450.2,4.8,2.4
Chester County,Kennett Square Borough,4202939352,2020,6201,209.6,16.1,0.0,287.6,45.2,3.2
